,2000_title_count,2000_abstract_count,2001_title_count,2001_abstract_count,2002_title_count,2002_abstract_count,2003_title_count,2003_abstract_count,2004_title_count,2004_abstract_count,2005_title_count,2005_abstract_count,2006_title_count,2006_abstract_count,2007_title_count,2007_abstract_count,2008_title_count,2008_abstract_count,2009_title_count,2009_abstract_count,2010_title_count,2010_abstract_count,2011_title_count,2011_abstract_count,2012_title_count,2012_abstract_count,2013_title_count,2013_abstract_count,2014_title_count,2014_abstract_count,2015_title_count,2015_abstract_count,2016_title_count,2016_abstract_count,2017_title_count,2017_abstract_count,2018_title_count,2018_abstract_count,2019_title_count,2019_abstract_count,2021_title_count,2021_abstract_count
statistical,3.0,7.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,6.0,17.0,100.0,15.0,156.0,16.0,149.0,13.0,124.0,18.0,181.0,7.0,118.0,12.0,157.0,20.0,193.0,12.0,152.0,11.0,162.0,10.0,140.0,3.0,124.0,5.0,70.0,,,,
supercomputer,,,,,,,,,,,,,,3.0,,12.0,,7.0,2.0,11.0,,7.0,,9.0,,7.0,,14.0,,5.0,,8.0,,5.0,,25.0,,2.0,,,,
supercomputing,,,,,,,,,,,,,,2.0,1.0,5.0,3.0,4.0,,5.0,,5.0,,5.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,,7.0,,3.0,,2.0,,,,
visualisation,,,,,,,,,,,1.0,1.0,10.0,38.0,10.0,31.0,9.0,31.0,9.0,25.0,11.0,42.0,5.0,34.0,8.0,50.0,12.0,55.0,9.0,58.0,8.0,59.0,7.0,51.0,9.0,69.0,2.0,20.0,,,,
visualization,,,,,,1.0,,,,,,,3.0,9.0,3.0,7.0,3.0,12.0,3.0,9.0,3.0,19.0,1.0,9.0,4.0,11.0,1.0,14.0,1.0,14.0,3.0,12.0,1.0,12.0,1.0,18.0,,5.0,,,,
Rcpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggplot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stringr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reshape2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RColorBrewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workflow,,,,,,,,,,,,1.0,,3.0,,4.0,,14.0,,6.0,,5.0,,13.0,,13.0,2.0,20.0,1.0,19.0,,20.0,1.0,25.0,3.0,26.0,,10.0,,,,
wxpython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
